166	0|1|1|1|0;4.0|e
166	0|1|1|1|1;2.0|e
166	1|0|0|0|0;2.0|e
166	1|0|0|0|1;2.0|e
166	1|1|0|0|1;4.0|e
186	0|1|1|1|0;5.0|e
186	0|1|1|1|1;2.5|e
186	1|0|0|0|0;2.5|e
186	1|0|0|0|1;2.5|e
186	1|1|0|0|1;5.0|e
22	0|1|1|1|0;5.333333333333332|e
22	0|1|1|1|1;2.666666666666666|e
22	1|0|0|0|0;2.666666666666666|e
22	1|0|0|0|1;2.666666666666666|e
22	1|1|0|0|1;5.333333333333332|e
253	0|1|1|1|0;10.0|e
253	0|1|1|1|1;5.0|e
253	1|0|0|0|0;5.0|e
253	1|0|0|0|1;5.0|e
253	1|1|0|0|1;10.0|e
6	0|1|1|1|0;6.0|e
6	0|1|1|1|1;3.0|e
6	1|0|0|0|0;3.0|e
6	1|0|0|0|1;3.0|e
6	1|1|0|0|1;6.0|e
